name1	name2	single_tel_length_norm
CNF	CNF	1.7817855618
CNB	CNB	1.7678309864
BVG	BVG	9.7054472021
CNE	CNE	2.7725604163
CNL	CNL	-9
BVD	BVD	2.773829014
BVF	BVF	2.0697572545
CNS	CNS	-0.395128203
CNT	CNT	-0.4027397896
BVE	BVE	-9
CNV	CNV	-9
AHB	AHB	-9
SACE_YBQ	SACE_YBQ	-9
CCL	CCL	0.026046255
BBQ	BBQ	-0.5663889013
BBS	BBS	-0.3938596052
BFP	BFP	0.7669073498
BTG	BTG	0.74407259
CLC	CLC	-9
CLB	CLB	-1.1600926553
CLD	CLD	-9
AQM	AQM	-9
BFN	BFN	-9
BME	BME	-9
ARS	ARS	-9
ARN	ARN	-9
BGM	BGM	0.2442450706
BGP	BGP	-0.2911031862
BFH	BFH	1.548363573
BGR	BGR	-9
ASN	ASN	0.171934998
BGK	BGK	0.7402667967
BGS	BGS	-9
BGD	BGD	3.2939540977
BGI	BGI	0.3964768024
ALD	ALD	-0.2631940354
BFS	BFS	0.3495386851
BGB	BGB	0.4218487577
BGF	BGF	-0.2378220801
BGG	BGG	-9
ARR	ARR	-9
BFT	BFT	-0.0716357729
BGE	BGE	0.0679099813
BGL	BGL	0.2493194617
BFV	BFV	-9
BGA	BGA	0.1579804226
BGT	BGT	-0.1084251081
BGV	BGV	-0.2162559181
BGH	BGH	0.366030456
BGN	BGN	1.5635867462
BGC	BGC	0.1364142606
BGQ	BGQ	0.215067322
CKV	CKV	-0.5080334041
AFL	AFL	-9
AEN	AEN	-9
ASC	ASC	-9
ANL	ANL	-9
ANM	ANM	-9
AVN	AVN	-9
AVP	AVP	-9
AVQ	AVQ	-9
AVR	AVR	-9
AVS	AVS	-9
AVT	AVT	-9
BEK	BEK	-9
BEM	BEM	-9
BEI	BEI	-9
BEN	BEN	-9
BHA	BHA	-9
BDN	BDN	-0.3469214879
CES	CES	-9
CER	CER	-0.6336245828
CET	CET	-9
BPI	BPI	-9
BPN	BPN	-0.1997641472
SACE_YDB	SACE_YDB	-9
AAB	AAB	-9
CBN	CBN	0.2239475064
AQG	AQG	1.6016446792
CFF	CFF	-1.3998576329
AFB	AFB	-9
AFA	AFA	-9
AFP	AFP	0.3584188694
