Strain	Single_tel_length	Clade	Gene	CN
CAR	301.25	01.Wine_European	ATP8	12.5
CAT	292.5	01.Wine_European	ATP8	16.5
CBC	356.375	01.Wine_European	ATP8	18.5
CBD	287.625	01.Wine_European	ATP8	22.5
ART	238.25	01.Wine_European	ATP8	20
BSR	86.75	01.Wine_European	ATP8	18
BSS	463.125	01.Wine_European	ATP8	7.5
BTR	105.625	01.Wine_European	ATP8	11.5
BTP	358.625	01.Wine_European	ATP8	7
ASR	175.375	01.Wine_European	ATP8	18
CDT	398	02.Alpechin	ATP8	5
CPG	118.25	02.Alpechin	ATP8	11.5
AQA	346.125	02.Alpechin	ATP8	5
CGD	450.375	02.Alpechin	ATP8	5
CGE	429.75	02.Alpechin	ATP8	6.5
BRK	369.125	02.Alpechin	ATP8	1
AID	354.125	02.Alpechin	ATP8	9.5
AST	225.875	M1.Mosaic_Region_1	ATP8	20
BHD	196.375	M1.Mosaic_Region_1	ATP8	14.5
BHM	212.625	M1.Mosaic_Region_1	ATP8	1.5
BHT	181.5	M1.Mosaic_Region_1	ATP8	13
AMP	226.5	M1.Mosaic_Region_1	ATP8	16.5
BHL	230.875	M1.Mosaic_Region_1	ATP8	1.5
BHK	187.125	M1.Mosaic_Region_1	ATP8	2.5
BVC	351.375	03.Brazilian_Bioethanol	ATP8	12
CNQ	167.625	03.Brazilian_Bioethanol	ATP8	11.5
BTT	325.5	03.Brazilian_Bioethanol	ATP8	5.5
APH	300.75	03.Brazilian_Bioethanol	ATP8	9
BTV	478.5	03.Brazilian_Bioethanol	ATP8	11
BVA	699.625	03.Brazilian_Bioethanol	ATP8	2
CMT	204.875	03.Brazilian_Bioethanol	ATP8	24
CNG	184	03.Brazilian_Bioethanol	ATP8	15
CNK	289.25	03.Brazilian_Bioethanol	ATP8	8.5
CNM	186.625	03.Brazilian_Bioethanol	ATP8	15
CNP	192.375	03.Brazilian_Bioethanol	ATP8	12
CNR	160.625	03.Brazilian_Bioethanol	ATP8	10
BVB	451.375	03.Brazilian_Bioethanol	ATP8	6
