Strain,Single_tel_length,Clade,Gene,CN
CIV,183.25,01.Wine_European,YFR054C,1
CKT,194.875,01.Wine_European,YFR054C,1
BIL,448.625,01.Wine_European,YFR054C,1
BNI,199.375,01.Wine_European,YFR054C,1
BLV,226.375,01.Wine_European,YFR054C,1
BQG,276.75,01.Wine_European,YFR054C,1
CRD,212.25,01.Wine_European,YFR054C,1
BVM,190.25,01.Wine_European,YFR054C,1
CQV,257.75,01.Wine_European,YFR054C,1
CRK,168.5,01.Wine_European,YFR054C,1
BLF,180.875,01.Wine_European,YFR054C,1
BNT,294.5,01.Wine_European,YFR054C,1
BLD,221.625,01.Wine_European,YFR054C,1
BKR,364.5,01.Wine_European,YFR054C,>1
CEC,210.875,01.Wine_European,YFR054C,1
BNH,191.375,01.Wine_European,YFR054C,1
BLC,204.5,01.Wine_European,YFR054C,1
CEE,192.375,01.Wine_European,YFR054C,1
BNN,269.75,01.Wine_European,YFR054C,1
CED,198.75,01.Wine_European,YFR054C,1
BKS,321.625,01.Wine_European,YFR054C,1
BLP,277.375,01.Wine_European,YFR054C,1
BLN,261.375,01.Wine_European,YFR054C,1
CDV,237.375,01.Wine_European,YFR054C,1
CEF,187.625,01.Wine_European,YFR054C,1
ANQ,234.875,01.Wine_European,YFR054C,<1
AVK,200.5,01.Wine_European,YFR054C,1
BIK,346.5,01.Wine_European,YFR054C,1
BSG,237.875,01.Wine_European,YFR054C,1
AKP,165.125,01.Wine_European,YFR054C,<1
AKV,166.875,01.Wine_European,YFR054C,1
ALE,147.125,01.Wine_European,YFR054C,1
BQP,269.125,01.Wine_European,YFR054C,1
BRB,280.5,01.Wine_European,YFR054C,1
BIT,384.25,01.Wine_European,YFR054C,1
AQB,287.5,01.Wine_European,YFR054C,1
BRH,201.625,01.Wine_European,YFR054C,1
BIR,302.5,01.Wine_European,YFR054C,1
AIM,201.75,01.Wine_European,YFR054C,1
CHF,210.5,01.Wine_European,YFR054C,1
BHB,174.375,01.Wine_European,YFR054C,1
AHP,254.25,01.Wine_European,YFR054C,<1
AQE,255.75,01.Wine_European,YFR054C,1
BPL,223,01.Wine_European,YFR054C,1
CAB,204.375,01.Wine_European,YFR054C,1
CAP,511.875,01.Wine_European,YFR054C,>1
AQC,179.375,01.Wine_European,YFR054C,1
BVT,310.625,01.Wine_European,YFR054C,>1
CAA,245.25,01.Wine_European,YFR054C,>1
CAC,247.625,01.Wine_European,YFR054C,1
BVV,263.125,01.Wine_European,YFR054C,>1
CAD,294.125,01.Wine_European,YFR054C,>1
CAM,264.875,01.Wine_European,YFR054C,1
CAQ,259.625,01.Wine_European,YFR054C,1
CBB,550.75,01.Wine_European,YFR054C,1
CBE,272,01.Wine_European,YFR054C,>1
CAS,305.25,01.Wine_European,YFR054C,1
